STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100101,32.8,16.6,41.1,24.6,11.8,7.3,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100102,32.8,16.6,41.0,24.5,11.8,7.3,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100103,32.7,16.6,41.0,24.4,11.8,7.4,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100104,32.6,16.6,40.9,24.3,11.8,7.4,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100105,32.5,16.6,40.8,24.2,11.8,7.4,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100106,32.5,16.6,40.8,24.2,11.8,7.4,12.3,12.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100107,32.4,16.6,40.7,24.1,11.7,7.4,12.3,12.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100108,32.4,16.6,40.7,24.1,11.7,7.5,12.3,12.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100109,32.3,16.7,40.7,24.0,11.7,7.5,12.3,12.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100110,32.3,16.7,40.7,24.0,11.7,7.5,12.2,12.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100111,32.3,16.7,40.6,23.9,11.6,7.5,12.2,12.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100112,32.2,16.8,40.6,23.9,11.6,7.5,12.2,12.1
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100113,32.2,16.8,40.6,23.8,11.5,7.5,12.2,12.1
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100114,32.2,16.8,40.6,23.8,11.5,7.5,12.1,12.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100115,32.2,16.9,40.6,23.8,11.5,7.5,12.1,12.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100116,32.2,16.9,40.7,23.8,11.4,7.5,12.1,12.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100117,32.2,17.0,40.7,23.7,11.4,7.5,12.1,11.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100118,32.2,17.0,40.7,23.7,11.4,7.5,12.1,11.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100119,32.3,17.1,40.8,23.7,11.4,7.6,12.1,11.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100120,32.3,17.1,40.8,23.7,11.4,7.6,12.1,11.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100121,32.3,17.2,40.9,23.8,11.4,7.6,12.1,11.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100122,32.4,17.2,41.0,23.8,11.3,7.6,12.1,11.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100123,32.4,17.3,41.1,23.8,11.3,7.6,12.1,11.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100124,32.5,17.3,41.2,23.8,11.3,7.6,12.1,11.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100125,32.6,17.4,41.3,23.9,11.3,7.7,12.1,11.7
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100126,32.7,17.4,41.4,23.9,11.3,7.7,12.1,11.7
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100127,32.8,17.5,41.5,24.0,11.3,7.7,12.1,11.6
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100128,32.9,17.6,41.6,24.1,11.2,7.7,12.1,11.6
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100129,33.0,17.6,41.8,24.2,11.2,7.7,12.1,11.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100130,33.1,17.7,41.9,24.3,11.1,7.7,12.1,11.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100131,33.2,17.8,42.1,24.4,11.1,7.7,12.1,11.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100201,33.4,17.8,42.3,24.5,11.0,7.7,12.1,11.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100202,33.5,17.9,42.5,24.6,11.0,7.7,12.1,11.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100203,33.7,18.0,42.7,24.7,10.9,7.7,12.0,11.1
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100204,33.9,18.0,42.9,24.9,10.9,7.7,12.0,11.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100205,34.1,18.1,43.1,25.0,10.8,7.7,12.0,10.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100206,34.3,18.2,43.4,25.2,10.8,7.7,12.0,10.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100207,34.5,18.2,43.6,25.4,10.7,7.7,12.0,10.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100208,34.7,18.3,43.9,25.6,10.7,7.7,12.0,10.7
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100209,34.9,18.4,44.1,25.8,10.7,7.8,12.0,10.6
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100210,35.2,18.4,44.4,26.0,10.6,7.8,12.0,10.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100211,35.4,18.5,44.7,26.2,10.6,7.8,12.0,10.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100212,35.7,18.6,45.0,26.4,10.5,7.9,12.0,10.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100213,36.0,18.7,45.3,26.6,10.5,7.9,12.0,10.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100214,36.2,18.7,45.6,26.9,10.4,7.9,12.0,10.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100215,36.5,18.8,45.9,27.1,10.4,8.0,12.0,10.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100216,36.8,18.9,46.2,27.4,10.4,8.0,12.0,10.1
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100217,37.1,19.0,46.6,27.6,10.3,8.0,12.1,10.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100218,37.4,19.0,46.9,27.9,10.3,8.1,12.1,10.0
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100219,37.7,19.1,47.3,28.1,10.3,8.1,12.1,9.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100220,38.0,19.2,47.6,28.4,10.2,8.1,12.1,9.9
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100221,38.3,19.3,48.0,28.7,10.2,8.1,12.1,9.8
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100222,38.6,19.4,48.3,29.0,10.2,8.2,12.1,9.7
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100223,39.0,19.4,48.7,29.3,10.1,8.2,12.1,9.7
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100224,39.3,19.5,49.1,29.5,10.1,8.2,12.1,9.6
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100225,39.6,19.6,49.4,29.8,10.1,8.3,12.1,9.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100226,40.0,19.7,49.8,30.1,10.0,8.3,12.1,9.5
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100227,40.3,19.8,50.2,30.4,10.0,8.3,12.1,9.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100228,40.6,19.9,50.6,30.7,10.0,8.3,12.1,9.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100301,41.0,20.0,51.0,31.0,10.0,8.4,12.1,9.4
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100302,41.3,20.1,51.3,31.3,9.9,8.4,12.1,9.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100303,41.7,20.1,51.7,31.6,9.9,8.4,12.1,9.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100304,42.0,20.2,52.1,31.9,9.9,8.4,12.1,9.3
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100305,42.3,20.3,52.5,32.2,9.9,8.5,12.0,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100306,42.7,20.4,52.9,32.5,9.8,8.5,12.0,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100307,43.0,20.5,53.3,32.7,9.8,8.5,12.0,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100308,43.3,20.6,53.7,33.0,9.8,8.5,12.0,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100309,43.7,20.7,54.0,33.3,9.8,8.5,11.9,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100310,44.0,20.8,54.4,33.6,9.7,8.5,11.9,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100311,44.4,20.9,54.8,33.9,9.7,8.5,11.9,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100312,44.7,21.0,55.2,34.2,9.7,8.5,11.8,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100313,45.0,21.1,55.6,34.5,9.7,8.5,11.8,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100314,45.4,21.2,56.0,34.7,9.7,8.5,11.8,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100315,45.7,21.3,56.3,35.0,9.7,8.4,11.7,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100316,46.0,21.4,56.7,35.3,9.6,8.4,11.7,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100317,46.4,21.5,57.1,35.6,9.6,8.4,11.7,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100318,46.7,21.6,57.5,35.9,9.6,8.4,11.6,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100319,47.0,21.7,57.9,36.2,9.6,8.4,11.6,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100320,47.3,21.8,58.2,36.4,9.6,8.3,11.5,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100321,47.7,21.9,58.6,36.7,9.5,8.3,11.5,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100322,48.0,22.0,59.0,37.0,9.5,8.3,11.4,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100323,48.3,22.1,59.4,37.3,9.5,8.3,11.4,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100324,48.7,22.2,59.8,37.6,9.5,8.3,11.3,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100325,49.0,22.3,60.1,37.8,9.4,8.2,11.3,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100326,49.3,22.4,60.5,38.1,9.4,8.2,11.2,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100327,49.6,22.4,60.9,38.4,9.4,8.2,11.2,9.2
GHCND:USW00093817,EVANSVILLE REGIONAL AIRPORT IN US,20100328,50.0,22.5,61.2,38.7,9.4,8.2,11.1,9.2
