"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-01","0.00","8","14","1"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-02","0.00","10","19","-2"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-03","0.00","17","29","9"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-04","0.00","15","19","3"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-05","0.00","15","20","6"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-06","0.00","10","22","1"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-07","0.00","23","43","13"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-08",,"38","41","36"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-09","0.00","38","41","36"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-10","0.01","47","59","40"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-11","0.85","59","62","33"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-12","0.83","30","33","19"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-13","0.00","20","22","5"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-14","0.00","11","22","2"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-15","0.14","24","29","11"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-16","0.00","9","11","2"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-17","0.00","10","18","7"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-18","0.00","15","29","7"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-19","0.00","27","40","20"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-20","0.00","38","47","29"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-21","0.00","47","56","40"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-22","0.54","54","60","45"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-23","0.00","41","45","34"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-24","0.00","35","40","26"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-25","0.00","35","55","24"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-26","0.00","46","59","33"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-27","0.59","50","52","32"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-28","0.00","40","55","28"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-29","0.01","36","43","28"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-30","0.00","29","35","21"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-01-31","0.00","38","57","30"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-01","0.13","40","44","19"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-02","0.00","19","26","12"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-03","0.01","26","41","19"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-04","0.17","37","47","18"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-05","0.00","20","30","13"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-06","0.21","30","36","27"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-07","0.09","29","32","22"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-08","0.00","27","37","20"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-09","0.00","39","56","29"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-10","0.01","42","47","33"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-11","0.41","32","34","26"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-12","0.00","28","40","20"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-13","0.00","32","42","25"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-14","0.67","47","60","38"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-15","0.02","63","72","59"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-16","0.94","52","64","35"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-17","0.35","35","41","32"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-18","0.00","37","50","27"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-19","0.02","59","74","49"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-20","0.00","69","76","65"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-21","1.16","51","71","38"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-22","0.56","44","51","40"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-23","0.83","52","60","48"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-24","3.45","50","62","47"
"USW00093817","EVANSVILLE REGIONAL AIRPORT, IN US","2018-02-25","0.00","51","62","39"
