"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-01","0.00","-2","-14","-12"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-02","0.00","7","-16","3"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-03","0.00","16","0","0"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-04","0.00","10","-4","-4"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-05","0.00","9","-9","-4"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-06","0.00","14","-11","5"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-07","0.09","32","5","32"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-08","0.00","34","26","26"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-09","0.00","31","24","31"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-10","0.01","54","31","54"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-11","0.40","58","20","20"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-12","0.00","21","13","13"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-13","0.00","16","5","7"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-14","0.10","21","2","17"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-15","0.15","22","3","3"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-16","0.01","20","1","7"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-17","0.00","18","-4","16"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-18","0.00","31","14","25"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-19","0.00","38","25","36"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-20","0.00","45","30","38"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-21","0.00","46","37","46"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-22","0.78","54","34","34"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-23","0.05","36","28","28"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-24","0.05","28","24","24"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-25","0.00","45","24","35"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-26","0.00","51","34","49"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-27","0.00","49","31","33"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-28","0.00","45","25","32"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-29","0.00","31","14","14"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-30","0.00","30","11","29"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-01-31","0.00","43","29","32"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-01","0.00","32","8","8"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-02","0.00","21","3","21"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-03","0.02","41","18","34"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-04","0.07","35","2","2"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-05","0.23","11","-7","10"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-06","0.04","18","-3","15"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-07","0.06","18","2","4"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-08","0.15","21","0","21"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-09","0.43","27","20","20"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-10","0.10","22","14","20"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-11","0.26","20","6","7"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-12","0.00","26","0","14"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-13","0.00","31","11","21"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-14","0.00","42","19","38"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-15","0.03","42","35","38"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-16","0.00","39","12","13"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-17","0.11","34","10","22"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-18","0.01","39","16","38"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-19","1.03","58","36","56"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-20","2.11","65","31","31"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-21","0.08","33","27","28"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-22","0.00","41","28","39"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-23","0.24","43","32","33"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-24","0.13","50","32","45"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-25","0.01","47","33","34"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-26","0.00","54","26","40"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-27","0.00","62","35","50"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-02-28","0.03","60","38","39"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-01","0.54","45","32","33"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-02","0.00","48","27","34"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-03","0.00","47","32","32"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-04","0.00","50","31","36"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-05","0.19","42","33","33"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-06","0.07","42","28","31"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-07","0.00","33","25","26"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-08","0.00","33","21","23"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-09","0.00","39","17","27"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-10","0.00","43","22","30"
"USC00117457","ROMEOVILLE WEATHER FORECAST OFFICE, IL US","2018-03-11","0.00","42","25","26"
