STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100101,24.5,14.5,31.8,17.3,10.2,6.1,10.1,11.2
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100102,24.4,14.6,31.7,17.1,10.1,6.1,10.1,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100103,24.3,14.7,31.6,16.9,10.1,6.1,10.0,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100104,24.1,14.7,31.5,16.8,10.1,6.0,10.0,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100105,24.0,14.8,31.4,16.6,10.1,6.0,10.0,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100106,23.9,14.8,31.3,16.5,10.1,6.0,10.0,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100107,23.7,14.9,31.2,16.3,10.1,6.0,9.9,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100108,23.6,14.9,31.1,16.1,10.1,6.0,9.9,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100109,23.5,15.0,31.0,16.0,10.1,5.9,9.9,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100110,23.4,15.0,30.9,15.9,10.1,5.9,9.9,11.1
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100111,23.2,15.0,30.7,15.7,10.1,5.9,9.9,11.0
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100112,23.1,15.1,30.6,15.6,10.0,5.9,9.9,11.0
GHCND:USW00014880,CHICAGO WAUKEGAN REGIONAL AIRPORT IL US,20100113,23.0,15.1,30.5,15.5,10.0,5.9,9.9,11.0
