"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-01","0.00",,"2","-8"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-02","0.00",,"11","-7"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-03","0.00",,"16","4"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-04","0.00",,"11","-3"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-05","0.00",,"11","-3"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-06","0.00",,"14","-4"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-07","0.02",,"32","10"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-08","0.00",,"40","31"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-09","0.00",,"38","23"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-10","0.00",,"55","30"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-11","0.08",,"69","28"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-12","0.00",,,
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-13","0.00",,"18","4"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-14","0.00",,"24","1"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-15","0.11",,"27","17"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-16","0.02",,"28","13"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-17","0.00",,"23","6"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-18","0.00",,"33","17"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-19","0.00",,"42","26"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-20","0.00",,"47","30"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-21","0.00",,"40","35"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-22","0.98",,"53","37"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-23","0.23",,"37","27"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-24","0.01",,"28","25"
"USW00014880","CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US","2018-01-25","0.00",,"36","21"
