"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-01","0.00",,"3","-8"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-02","0.00",,"13","-5"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-03","0.00",,"16","4"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-04","0.00",,"12","-2"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-05","0.00",,"11","-3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-06","0.00",,"14","-4"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-07","0.02",,"33","11"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-08","0.00",,"42","29"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-09","0.00",,"38","26"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-10","0.00",,"54","32"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-11","0.14",,"58","22"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-12","0.00",,"24","11"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-13","0.00",,"14","3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-14","0.01",,"20","-2"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-15","0.05",,"25","18"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-16","0.05",,"24","10"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-17","0.00",,"23","4"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-18","0.00",,"31","19"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-19","0.00",,"43","28"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-20","0.00",,"48","32"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-21","0.01",,"38","34"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-22","0.90",,"45","35"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-23","0.17",,"36","27"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-24","0.00",,"27","24"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-25","0.00",,"36","23"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-26","0.00",,"51","29"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-27","0.00",,"48","36"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-28","0.00",,"37","24"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-29","0.00",,"27","14"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-30","0.00",,"31","10"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-01-31","0.00",,"41","30"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-01","0.00",,"34","5"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-02","0.00",,"20","2"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-03","0.06",,"38","20"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-04","0.04",,"32","1"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-05","0.00",,"12","-6"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-06","0.00",,"17","0"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-07","0.03",,"18","3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-08","0.04",,"19","4"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-09","0.13",,"25","13"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-10","0.02",,"20","12"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-11","0.18",,"22","11"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-12","0.00",,"22","6"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-13","0.00",,"30","3"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-14","0.00",,"44","20"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-15","0.00",,"47","33"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-16","0.00",,"34","17"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-17","0.00",,"34","16"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-18","0.00",,"36","19"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-19","0.33",,"41","35"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-20","0.81",,"53","31"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-21","0.00",,"31","24"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-22","0.00",,"37","27"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-23","0.08",,"42","30"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-24","0.04",,"38","29"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-25","0.08",,"43","32"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-26","0.00",,"53","28"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-27","0.00",,"60","39"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-02-28","0.00",,"49","35"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-01","0.00",,"41","31"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-02","0.00",,"47","26"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-03","0.00",,"39","28"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-04","0.00",,"41","32"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-05","0.07",,"37","31"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-06","0.05",,"35","28"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-07","0.00",,"31","22"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-08","0.00",,"32","20"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-09","0.00",,"37","21"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-10","0.00",,"39","18"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-11","0.00",,"39","22"
"USW00094818","RACINE BATTEN AIRPORT, WI US","2018-03-12","0.00",,"44","29"
